Agency,AwardDescription,Length,,,,
Education,"""CLOSELY ASSOCIATED"" - ENHANCING INDIAN EDUCATION SERVICES CONTRACT LOGISTICS SERVICES",86,,,,
Education,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE ONGOING TRAINING AND TECHNICAL ASSISTANCE TO PROMISE NEIGHBORHOOD IMPLEMENTATION GRANTEES, ASPIRING GRANTEES, THE FIELD AND THE DEPARTMENT.",182,,,,
Education,"THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE DATABASE AND WEBSITE SUPPORT, MAINTENANCE, ENHANCEMENT, AND DISSEMINATION FOR INTERNATIONAL AND FOREIGN LANGUAGE EDUCATION (IFLE) AND THE INTERNATIONAL RESOURCE INFORMATION SYSTEM (IRIS)",231,,,,
Education,THE OFFICE OF ELEMENTARY AND SECONDARY EDUCATION (OESE) REQUIRES CONTRACTOR ASSISTANCE TO SUPPORT THE IMPACT AID PROGRAM WITH IV&V SUPPORT SERVICES TO PROVIDE A SYSTEMATIC EVALUATION OF SOFTWARE,194,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN CREDIT ENHANCEMENT TECHNICAL ASSISTANCE,84,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO PROVIDE TECHNICAL ASSISTANCE SERVICES TO SUPPORT THE OFFICE OF INNOVATION AND IMPROVEMENT'S STATEWIDE FAMILY ENGAGEMENT CENTER GRANTEE COHORT.,180,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO CANCEL THE 2021 FSATC SITE SELECTION PROCESS. DUE TO COVID-19, THE SITE SELECTION CONDUCTED TO HOST THE 2021 FSATC IN THE WESTERN U.S. HAS CHANGED. THE 2021 FSATC WILL BE HELD IN THE EASTERN U.S, ATLANTA, GA.",247,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO INCLUDE THE OTHER DIRECT COSTS ONTO CALL ORDER NO. 91003120F0011 FOR LOGISTIC SUPPORT.,125,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO MODIFY THE PRICING STRUCTURE IN SECTION B OF THE IDIQ CONTRACT, PREVIOUSLY REVISED PER MODIFICATION P00121, TO INCLUDE PRICING FOR CHANGE REQUEST (CR) 5379.",195,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO MODIFY THE PRICING STRUCTURE IN SECTION B OF THE IDIQ CONTRACT, PREVIOUSLY REVISED PER MODIFICATION P00118, TO INCLUDE PRICING FOR CHANGE REQUESTS (CRS) 5477 AND 5505.",206,,,,
Education,THE SERVICES CONTEMPLATED UNDER THIS NEXGEN BPO INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) CONTRACT INCLUDES CONTACT CENTER SUPPORT AND BACK-OFFICE PROCESSING.,163,,,,
Education,THE SERVICES CONTEMPLATED UNDER THIS NEXGEN BPO INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) CONTRACT INCLUDES CONTACT CENTER SUPPORT AND BACK-OFFICE PROCESSING.,163,,,,
Education,THE SERVICES CONTEMPLATED UNDER THIS NEXGEN BPO INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) CONTRACT INCLUDES CONTACT CENTER SUPPORT AND BACK-OFFICE PROCESSING.,163,,,,
Education,THE SERVICES CONTEMPLATED UNDER THIS NEXGEN BPO INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) CONTRACT INCLUDES CONTACT CENTER SUPPORT AND BACK-OFFICE PROCESSING.,163,,,,
Education,THE SERVICES CONTEMPLATED UNDER THIS NEXGEN BPO INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) CONTRACT INCLUDES CONTACT CENTER SUPPORT AND BACK-OFFICE PROCESSING.,163,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO IMPLEMENT CHANGE REQUEST (CR) 5088, NEXT GENERATION FEDERAL STUDENT AID (FSA) - DIGITAL CUSTOMER CARE (DCC) - IMPLEMENT DCC REDIRECT/LINKING STRATEGY.",189,,,,
Education,THE PURPOSE OF THIS MODIFICATIONIS TO PROVIDE FUNDING AND INCORPORATE CR 5536 INTO CONTRACT NUMBER ED-FSA-09-D-0014 TO 20F0313.,127,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO IMPLEMENT CHANGE REQUEST (CR) 5088, NEXT GEN FEDERAL STUDENT AID (FSA) - DIGITAL CUSTOMER CARE (DCC) - IMPLEMENT DCC REDIRECT/LINKING STRATEGY.",182,,,,
Education,ONLINE CREDITS SDI PREMIER EDITION 85 06/20/2019-06/20/2020,59,,,,
Education,"ALTERNATE TO FULL TIME PEER REVIEWER-THE PURPOSE OF THIS PROCUREMENT ACTION WAS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",227,,,,
Education,"CANCELLATION. THE PURPOSE OF THIS PROCUREMENT ACTION WAS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",204,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CLOSE OUT THE CONTRACT.,62,,,,
Education,"NATIONAL ASSESSMENT OF EDUCATIONAL PLATFORM DEVELOPMENT CONTRACT FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS, INSTITUTE OF EDUCATION SCIENCES, WITHIN THE DEPARTMENT OF EDUCATION.",183,,,,
Education,"NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS WEB/TECHNOLOGY DEVELOPMENT OPERATIONS AND MAINTENANCE CONTRACT FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS, INSTITUTE OF EDUCATION SCIENCES, WITHIN THE DEPARTMENT OF EDUCATION.",225,,,,
Education,"NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS MATERIALS DISTRIBUTION PROCESSING AND SCORING CONTRACT FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS, INSTITUTE OF EDUCATION SCIENCES, WITHIN THE DEPARTMENT OF EDUCATION.",217,,,,
Education,"NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS SAMPLING AND DATA COLLECTION CONTRACT FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS, INSTITUTE OF EDUCATION SCIENCES, WITHIN THE DEPARTMENT OF EDUCATION.",200,,,,
Education,"NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS ITEM DEVELOPMENT CONTRACT FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS, INSTITUTE OF EDUCATION SCIENCES, WITHIN THE DEPARTMENT OF EDUCATION.",188,,,,
Education,"NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS DESIGN, ANALYSIS AND REPORTING CONTRACT FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS, INSTITUTE OF EDUCATION SCIENCES, WITHIN THE DEPARTMENT OF EDUCATION.",202,,,,
Education,"NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS PLANNING AND COORDINATION CONTRACT FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS, INSTITUTE OF EDUCATION SCIENCES, WITHIN THE DEPARTMENT OF EDUCATION.",197,,,,
Education,COMPRESHENSIVE LITERACY EVALUATION PROGRAM,42,,,,
Education,THE PURPOSE OF THIS TASK ORDER IS TO CONDUCT REVIEWS OF STUDIES THAT ARE SUBMITTED TO THE U.S. DEPARTMENT OF EDUCATION AS EVIDENCE FOR THE FISCAL YEAR 2020 SUPPORTING EFFECTIVE EDUCATOR DEVELOPMENT (SEED) PROGRAM GRANT COMPETITION.,231,,,,
Education,THE PURPOSE OF THIS TASK ORDER IS TO CONDUCT REVIEWS OF STUDIES THAT ARE SUBMITTED TO THE U.S. DEPARTMENT OF EDUCATION AS EVIDENCE FOR THE FISCAL YEAR 2020 EDUCATION INNOVATION AND RESEARCH PROGRAM MID-PHASE GRANT COMPETITION.,226,,,,
Education,NATIONAL CENTER FOR EDUCATION STATISTICS (NCES) DATA LICENSING AND INSPECTION SUPPORT SERVICES,94,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CANCEL THE STOP WORK ORDER ISSUED ON 4/28/2020.,86,,,,
Education,"OFFICE OF ELEMENTARY AND SECONDARY EDUCATION (OESE) REQUIRES CONTRACTOR SUPPORT TO PROVIDE A SERIES OF ORGANIZATIONAL PROJECTS TRAINING FOR MANAGERS, SUPERVISORS, AND STAFF TO INCREASE HARD AND SOFT SKILLS.",206,,,,
Education,THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE THE LOGISTICAL SUPPORT SERVICES FOR THE FUND FOR IMPROVEMENT OF POST SECONDARY EDUCATION. (FIPSE) PEER REVIEW,154,,,,
Education,"TO PROVIDE FUNDING TO SUPPORT EZ-AUDIT SYSTEM A WEB-BASED APP THAT REDUCES THE CYCLE TIME REQUIRED TO COLLECT AND PROCESS FINANCIAL STATEMENTS AND COMPLIANCE AUDITS FROM APPROXIMATELY 6,000 DOMESTIC PROPRIETARY, NON-PROFIT, AND PUBLIC INSTITUTIONS.",248,,,,
Education,"THIS PROCUREMENT INVOLVES ASSISTANCE WITH ALL ASPECTS OF MEETING AND CONFERENCE LOGISTICS INCLUDING SELECTING AND SECURING VENUES, PROVIDING ALL SERVICES NECESSARY FOR SUCCESSFUL MEETINGS AND CONFERENCES REGARDING AUDIO/VISUAL NEEDS AND MATERIALS.",247,,,,
Education,VIRTUAL WORLD CONGRESS 2020,27,,,,
Education,"NORMAL LABOR HOURS, CONTROL BOARDS, INTERFACE BOARDS, FIELD FIRM UPGRADES",73,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE WHAT WORKS CLEARINGHOUSE REVIEWS IN THE AREAS OF POSTSECONDARY EDUCATION, THE TRANSITION TO COLLEGE, AND PROGRAM THAT TAKE PLACE IN MIDDLE AND HIGH SCHOOL WITH THE LONG TERM GOAL OF IMPACTING STUDENT",242,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE CHANGE REQUEST (CR) 5580 CARES ACT-COD COVID UPDATES.  THE REASON FOR THIS CR IS THAT CARES ACT LEGISLATION REQUIRES CHANGES TO AID RECIPIENT ACCOUNTS ON COMMON ORIGINATION AND DISBURSEMENT (COD) AND SERVICING SYSTEMS WHEN STUDENTS ARE UNABLE TO COMPLETE A TERM DUE TO COVID-19.  SCHOOLS WILL NOT BE RETURNING THE FUNDS ASSOCIATED WITH THE ACCOUNT ADJUSTMENTS AS THEY OTHERWISE WOULD.,435,,,,
Education,THIS MODIFICATION CORRECTS A TRANSPOSITION ERROR IN THE PREVIOUS MODIFICATION,77,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO REVISE A DELIVERABLE DATE.,65,,,,
Education,"THE PURPOSE OF THIS ORDER TO PROVIDE THE DEPARTMENT WITH FISCAL, ANALYTIC, AND LOGISTIC SERVICES FOR GRANT COMPLIANCE MONITORING AND DATA GATHERING FOR PROGRAM IMPROVEMENT.",172,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDS TO COVER THE FINAL INVOICE.,76,,,,
Education,TECHNICAL ASSISTANCE SPECIALIST OPTION YEAR II,46,,,,
Education,THIS ACTION ADDS ADDITIONAL FUNDING TO THE CONTRACT.,52,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO IMPLEMENT CR 5536 SWEET NOTIFICATIONS,76,,,,
Education,"THE PURPOSE OF THIS FUNDED MODIFICATION IS TO ADD TO THE CONTRACT THE STANDALONE TASK TO ""UPGRADE THE PARTNER ENTERPRISE BUSINESS COLLABORATION (PEBC) SHAREPOINT 2010 ENVIRONMENT TO MICROSOFT SHAREPOINT 2019"".",209,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION II AND INCREMENTALLY FUND OPTION II FROM 6/20/20-4/19/21 IN THE AMOUNT OF $125,000. AS A RESULT THE OBLIGATED VALUE OF THE CONTRACT IS INCREASED BY $125,000, FROM $286,291.20 TO $411,291.20.",245,,,,
Education,"PRIVATE COLLECTION AGENCY PERFORMS COLLECTION AND ADMINISTRATIVE RESOLUTION ACTIVITIES ON DEBTS RESULTING FROM NON-PAYMENT OF STUDENT LOANS MADE UNDER THE VARIOUS FEDERAL STUDENT AID LOAN PROGRAMS. THE PURPOSE OF THIS MODIFICATION IS TO ADD INCREMENTAL FUNDING IN THE AMOUNT OF $21,000,000.00. THE NEW OBLIGATION IS $309,154,390.75.",332,,,,
Education,PRIVATE COLLECTION AGENCY PERFORMS COLLECTION AND ADMINISTRATIVE RESOLUTION ACTIVITIES ON DEBTS RESULTING FROM NON-PAYMENT OF STUDENT LOANS MADE UNDER THE VARIOUS FEDERAL STUDENT AID LOAN PROGRAMS. THE PURPOSE OF MODIFICATION IS TO INCORPORATE FORTY (40) TOKENS FOR TWO-FACTOR AUTHENTICATION (TFA) TO THE LIST OF TOKENS PREVIOUSLY PROVIDED.,340,,,,
Education,"PRIVATE COLLECTION AGENCY PERFORMS COLLECTION AND ADMINISTRATIVE RESOLUTION ACTIVITIES ON DEBTS RESULTING FROM NON-PAYMENT OF STUDENT LOANS MADE UNDER THE VARIOUS FEDERAL STUDENT AID LOAN PROGRAMS. THE PURPOSE OF THIS MODIFICATION IS TO ADD INCREMENTAL FUNDING IN THE AMOUNT OF $18,000,000.00.  THE NEW OBLIGATION IS $XXX,XXX.XX.",329,,,,
Education,"PRIVATE COLLECTION AGENCY PERFORMS COLLECTION AND ADMINISTRATIVE RESOLUTION ACTIVITIES ON DEBTS RESULTING FROM NON-PAYMENT OF STUDENT LOANS MADE UNDER THE VARIOUS FEDERAL STUDENT AID LOAN PROGRAMS. THE PURPOSE OF THIS MODIFICATION IS TO ADD INCREMENTAL FUNDING IN THE AMOUNT OF 4,000,000.00.  THE NEW OBLIGATION IS $42,110,436.01.",330,,,,
Education,"PRIVATE COLLECTION AGENCY PERFORMS COLLECTION AND ADMINISTRATIVE RESOLUTION ACTIVITIES ON DEBTS RESULTING FROM NON-PAYMENT OF STUDENT LOANS MADE UNDER THE VARIOUS FEDERAL STUDENT AID LOAN PROGRAMS. THE PURPOSE OF THIS MODIFICATION IS TO ADD INCREMENTAL FUNDING IN THE AMOUNT OF $5,000,000.00. THE NEW OBLIGATION IS $107,095,699.13.",331,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS AS FOLLOWS ADD CYBERARK SUPPORT, NGDC COMMON DATA CENTER SECURITY, NGDC DATABASE SUPPORT AND UPDATE ATTACHMENT B (PRICING SCHEDULE).",168,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO: 1. ADD NGDC NSLDS DATA MIGRATION SUPPORT AND PAYMENT SCHEDULE TO THE CONTRACT. 2. THE STATEMENT OF WORK AND PAYMENT TABLE ARE LISTED BELOW. 3. ALL OTHER TERMS REMAIN UNCHANGED.,216,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO: 1. ADD THE ANNUAL SOC1 TYPE II REPORT REQUIREMENTS AND PAYMENT SCHEDULE FOR THE REPORT FOR ALL REMAINING OPTIONAL PERIODS OF PERFORMANCE STARTING FROM 3/13/2020 TO 7/31/2028 2.ALL OTHER TERMS REMAIN UNCHANGED.,249,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,THE PURPOSE OF THIS ORDER IS TO PROVIDE TECHNICAL ASSISTANCE FOR THE NATIONAL BLUE RIBBONS SCHOOLS PROGRAM.,107,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,107,,,,
Education,"EXTENSION OF SERVICES UNDER 217-8.  FINAL EXTENSION, CONTRACT ENDS 30 JUNE 2020.",80,,,,
Education,THIS MODIFICATION EXERCISES OPTION PERIOD II,44,,,,
Education,"TO REMOVE AND REPLACE KEY PERSONNEL TABLE LOCATED UNDER THE TERMS AND CONDITIONS SECTION, EDAR CLAUSE 3452.243-70 KEY PERSONNEL (B) WITH THE FOLLOWING  EXECUTIVE (E.G., PARTNER OR DIRECTOR) OR INDUSTRY-WIDE RECOGNIZED (SME) BILL LEWIS",234,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CLOSEOUT THIS CONTRACT.,62,,,,
Education,PARKING SERVICES FOR THE PCP BUILDING.,38,,,,
Education,WEBINAR AND INFORMATION CLEARINGHOUSE DATABASE SUPPORT FOR THE REHABILITATIVE SERVICES ADMINISTRATION,101,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,107,,,,
Education,EDUCATION STATISTICS SERVICES INSTITUTE NETWORK (ESSIN) TASK ORDER 10 - INTERNATIONAL ASSESSMENTS BRANCH OUTREACH AND COORDINATION,130,,,,
Education,"NPSAS:20 STUDENT DC, MAIN STUDY PRINT JOB",41,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,107,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE FOR 90-DAYS THROUGH DECEMBER 29, 2020.",110,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE I AWARD,60,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE FY18 FUNDS, AND SUBSEQUENTLY CLOSEOUT THIS CONTRACT.",102,,,,
Education,RENEWAL FOR THE BGOV (BLOOOMBERG  SUBSCRIPTION),47,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CLOSEOUT THIS CONTRACT.,62,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CLOSE THE CONTRACT.,58,,,,
Education,THE PURPOSE OF THIS PROCUREMENT IS TO SUPPORT THE CHARTER SCHOOL PROGRAMS REQUIREMENTS FOR PROVIDING TECHNICAL ASSISTANCE TO THE CHARTER SECTOR.,144,,,,
Education,RENEWAL LICENSE SUPPORT AND MAINTENANCE FOR HP WEBINSPECT SOFTWARE.,67,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM ANDREW JERNELL TO MARLON HOLLAND.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED,157,,,,
Education,"FINALIZE REPORT FOR OFFICE OF CIVIL RIGHTS TO INCLUDE GRAPHICS, ETC.",68,,,,
Education,"THIS CONTRACT PROVIDES TECHNICAL SUBJECT MATTER EXPERTISE AND SUPPORT FOR ONSITE PROGRAM ADMINISTRATION, TECHNOLOGICAL AND ANALYTICAL SUPPORT FOR THE DEPARTMENT OF EDUCATION'S GOVERNANCE AND STRATEGY DIVISION/STRATEGIC COLLECTIONS AND CLEARANCE (SCC)",250,,,,
Education,"2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II, SPECIAL RETURN ON INVESTMENT (ROI) AWARD.",98,,,,
Education,"2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II, SPECIAL TOPIC RETURN ON INVESTMENT (ROI) AWARD.",104,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II AWARD.,62,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II AWARD.,62,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II AWARD.,62,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II AWARD.,62,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II AWARD.,62,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE II AWARD.,62,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE I AWARD,60,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE I AWARD,60,,,,
Education,2020 SMALL BUSINESS INNOVATION RESEARCH (SBIR) PHASE I AWARD,60,,,,
