awarding_agency_name,award_description
DEPARTMENT OF DEFENSE (DOD),"RESEARCH IAW SOW ""A REAL-TIME HPC PLATFORM WITH IN-MEMORY NON-VON-NEUMANN PROCESSING AND OPTICAL NETWORKING (ARION),"" DRBE PROGRAM"
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  TAPO LCSM
GENERAL SERVICES ADMINISTRATION (GSA),IGF::OT::IGF SETS AWARD
DEPARTMENT OF DEFENSE (DOD),TEC SERVICES -CPFF
DEPARTMENT OF TRANSPORTATION (DOT),"PROVIDE INCREMENTAL FUNDING FOR LABOR HOURS, TRAVEL, AND ODC'S UNDER MCR CONTRACT DTFAWA-09-C-00040, ON AUTHORIZATION #0001  TAS::69 8107::TAS"
DEPARTMENT OF DEFENSE (DOD),TECHNICAL AND ENGINEERING SUPPORT
DEPARTMENT OF DEFENSE (DOD),SOJTF-A COTS SUSTAINMENT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PRIORITY ONE SERVICES INC:1108007 [21-001100]
DEPARTMENT OF THE INTERIOR (DOI),IGF::CT::IGF -ONSITE IT SUPPORT
ENVIRONMENTAL PROTECTION AGENCY (EPA),OC-22 PCB INSPECTION SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0498-15; E-243-2015/0-US-01; MACKALL; PATENT LEGAL SERVICE; (LAMBERTSON)
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"IGF::CT::IGF THIS ""TASK ORDER"" HAS BEEN CREATED IN THE CONTRACT MANAGEMENT MODULE (CMM) SYSTEM FOR FUNDING PURPOSES ONLY AND IS NOT AN ACTUAL TASK ORDER WITH A STATEMENT OF WORK AND OTHER TASK ORDER REQUIREMENTS.  THIS ""TASK ORDER"" HAS BEEN CREATED FOR FUNDING OBLIGATIONS ONLY AND TO ACCOUNT FOR CMM AND SAP FINANCIAL SYSTEM FUNCTIONALITY.  THIS ""TASK ORDER"" IS TO FUND NNL13AA14C CLIN 1 (MAINTENANCE).  CENTER MAINTENANCE, OPERATIONS, AND ENGINEERING (CMOE) CONTRACT. REQUIREMENT FOR THE MAINTENANCE, OPERATIONS, AND ENGINEERING OF LARC'S INSTITUTIONAL FACILITIES AND HIGHLY TECHNICAL RESEARCH FACILITIES FOR MISSION SUCCESS.  THE CMOE CONTRACT WILL PROVIDE CORE SUPPORT SERVICES TO LARC IN THE AREAS OF INSTITUTIONAL AND RESEARCH OPERATIONS, MAINTENANCE, AND ENGINEERING (OME).  THESE TECHNICAL SERVICES INCLUDE:  RESEARCH FACILITIES OPERATIONS (E.G., HIGHLY SPECIALIZED WIND TUNNELS, LABORATORIES, TEST STANDS, INSTRUMENTATION CALIBRATION/REPAIR); CENTRAL UTILITIES OPERATIONS (E.G., STEAM, COMPRESSED AIR, ELECTRICAL POWER DISTRIBUTION, POTABLE WATER); TECHNOLOGY DEVELOPMENT/ADMINISTRATION (E.G., FACILITY AUTOMATION SYSTEMS [FAS], DATA ACQUISITION SYSTEMS [DAS]); RESEARCH AND INSTITUTIONAL FACILITY MAINTENANCE (E.G., PREVENTIVE MAINTENANCE, TROUBLE CALLS, RELIABILITY CENTERED MAINTENANCE [RCM], FACILITY CONDITION ASSESSMENT [FCA]); AND FACILITY ENGINEERING (E.G., DESIGN, CONSTRUCTION, CONFIGURATION MANAGEMENT, TACTICAL ENGINEERING, PRESSURE SYSTEM RECERTIFICATION, PROJECT MANAGEMENT/PLANNING SUPPORT)."
DEPARTMENT OF DEFENSE (DOD),
DEPARTMENT OF DEFENSE (DOD),FY 21 DHA R&A MEETINGS
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF STRUCTURAL DYNAMICS AND MECHANICS OF  GAS TURBINE ENGINE COMPONENTS
DEPARTMENT OF DEFENSE (DOD),TECHNICAL SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),FY 2020 COVID-19 BAA TOPIC 2 - NC STATE
DEPARTMENT OF DEFENSE (DOD),IGF:OT:IGF ENGINEERING SERVICES AA POLAND
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LVM-BIO.0180-19; E-157-2017-0-PCT-02; FELDMAN; PATENT LEGAL SERVICE; (BURKE)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HHS FINANCIAL REPORTING AND ANALYSIS SUPPORT
DEPARTMENT OF DEFENSE (DOD),AIMD SUPPORT - NAS PENSACOLA AND NAS CORPUS CHRISTI
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF - PRODUCTION ASSISTANCE FOR CELLULAR THERAPIES (PACT III)- CELL PROCESSING FACILITIES
DEPARTMENT OF JUSTICE (DOJ),"IGF::CT::IGF  THIS CONTRACT WILL BE USED TO PROVIDE PROFESSIONAL LITIGATION SUPPORT PRODUCTS AND SERVICES TO THE DEPARTMENT OF JUSTICE AND OTHER FEDERAL AGENCIES ON AN INDEFINITE DELIVERY, INDEFINITE QUANTITY TASK ORDER BASIS. INDIVIDUAL TASK ORDERS ISSUED UNDER THIS CONTRACT MAY SUPPORT ANY DEPARTMENT OF JUSTICE ORGANIZATION OR FEDERAL AGENCY ON A LOCAL AND/OR NATIONWIDE BASIS. SERVICES MAY BE REQUIRED ANYWHERE IN OR OUTSIDE OF THE UNITED STATES AND ITS TERRITORIES. THIS CONTRACT WILL ALSO BE USED TO SUPPORT CASE- OR INVESTIGATION-RELATED ADMINISTRATIVE FUNCTIONS"
ENVIRONMENTAL PROTECTION AGENCY (EPA),MOBILE SOURCE ENFORCEMENT SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-SR-BIO.0055-18; E-073-2011/2-US-01; SIEGEL; PATENT LEGAL SERVICE; (REYERO) CLN 2-SR-BIO.0101-18; E-073-2011/2-US-02; SIEGEL; PATENT LEGAL SERVICE; (REYERO) CLN 3-SR-BIO.0136-18; E-073-2011/2-US-02; SIEGEL; PATENT LEGAL SERVICE; (REYERO)
DEPARTMENT OF JUSTICE (DOJ),ICI - BANGLADESH - CT PRISONS
DEPARTMENT OF DEFENSE (DOD),BEARING SUPPORT STRUCTURE INSEPARABLE ASSEMBLY
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF THIS CONTRACT IS A COST PLUS FIXED FEE COMPLETION CONTRACT AS DEFINED IN FAR 16.306(D)(1) ISSUED IN RESPONSE TO BROAD AGENCY ANNOUNCEMENT (BAA) SOLICITATION W56KGU-15-R-0022 UNDER TOPIC 10, POSITIONING PNT MODELING AND SIMULATION SYSTEM DEVELOPMENT FOR ANALYSES OF WEAPON SYSTEM PERFORMANCE IN GPS CHALLENGED ENVIRONMENTS IN ACCORDANCE WITH THE PERFORMANCE WORK STATEMENT DATED 11 JULY 2017. THESE ARE SERVICES REQUIRED TO SUPPORT THE MISSION OF THE U.S. ARMY RESEARCH, DEVELOPMENT, AND ENGINEERING COMMAND (RDECOM), COMMUNICATIONS-ELECTRONICS RESEARCH, DEVELOPMENT, AND ENGINEERING CENTER (CERDEC), COMMAND POWER AND INTEGRATION (CP AND I) DIRECTORATE, LOCATED AT ABERDEEN PROVING GROUND, MD."
DEPARTMENT OF DEFENSE (DOD),"CAPE LAUNCH OPERATIONS AND INFRASTRUCTURE SUPPORT NAVY ORDNANCE TEST UNIT STRATEGIC WEAPONS SYSTEM ASHORE RESEARCH, DEVELOPMENT, TEST, AND EVALUATION"
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF UNSCHEDULED MAINTENANCE
DEPARTMENT OF TRANSPORTATION (DOT),CAPELLA DRYDOCK TRANSIT  ODI-CAP20-1006 C
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF INTEGRATION SUPPORT SERVICES
DEPARTMENT OF AGRICULTURE (USDA),FOREST NATURAL RESOURCES PROGRAM MANAGER  IGF::OT::IGF  SERVICES FOR FOREST SERVICE IP
SMITHSONIAN INSTITUTION (SI),WEB DEVELOPMENT AND SUPPORT SERVICES.
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::CT::IGF
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),THE PURPOSE OF THIS MODIFICATION IS TO ESTABLISH A ZERO COST ISSO AS A SERVICE BLANKET PURCHASE AGREEMENT (BPA) FOR MINDPOINT GROUP UNDER THE FOLLOWING CLINS: 1. CLIN 0001 - USAID/INFORMATION SYSTEM SECURITY OFFICER (ISSO) SUPPORT  2. CLIN 0002 - CYBER RISK MANAGEMENT (CRM) CONSULTING SERVICES 3. CLIN 0003 - PENETRATION TEST SERVICES
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF NAVY COMPOSITES MANUFACTURING CENTER OF EXCELLENCE (NCMC)  CENTER OPERATIONS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SR-BIO.0091-18; E-531-2013/2-EP-04; COHEN; PATENT LEGAL SERVICE; (PATEL)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH&WELFARE SPECIAL REVIEWS TEAM CONTRACTOR IGF::CT::IGF
DEPARTMENT OF DEFENSE (DOD),"BLACKJACK PROGRAM, PHASE 1 - TRACK A, PAYLOAD, BLACKJACK WILL DEVELOP AND DEMONSTRATE A LOW EARTH ORBIT CONSTELLATION THAT PROVIDES GLOBAL PERSISTENT COVERAGE."
DEPARTMENT OF DEFENSE (DOD),CAPE LAUNCH OPERATIONS AND INFRASTRUCTURE SUPPORT - NAVY ORDNANCE TEST UNIT
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF ENGINEERING MAINTENANCE SERVICES (EMS)
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"DISASTER OPERATIONS SPECIALIST ALAC, YR 1."
DEPARTMENT OF HOMELAND SECURITY (DHS),ISSUE A TASK ORDER FOR REQUISITE PRIORITY SERVICES MODELING SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-KS-BIO.0116-19; E-195-2018-0-US-01; SRIVASTAVA; PATENT LEGAL SERVICE; (FREEL) CLN 2-KS-BIO.0117-19; E-195-2018-0-US-01; SRIVASTAVA; PATENT LEGAL SERVICE; (FREEL)
DEPARTMENT OF COMMERCE (DOC),CONTRACT NO.DOC45PAPT1420017- FY18 PERFORMANCE ANALYSIS TESTING_OM - BPS CONTRACTOR SUPPORT - PERFORMANCE TESTING MORE RIGOROUS TEST EVALUATIONS
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"IGF::CL,CT::IGF PSYCHE: JOURNEY TO A METAL WORLD  THIS CONTRACT PROVIDES FOR WORK TO BE PERFORMED BY THE PRINCIPAL INVESTIGATOR IN SUPPORT OF THE PHASE A CONCEPT DEFINITION PORTION OF THE NASA DISCOVERY PROGRAM 2014 ANNOUNCEMENT OF OPPORTUNITY (AO) (NNH14ZDA014O) SOLICITATION DATED NOVEMBER 5, 2014.  THE MISSION PRINCIPAL INVESTIGATOR (PI), DR. LINDA ELKINS-TANTON, OF THE SCHOOL OF EARTH AND SPACE EXPLORATION AT ARIZONA STATE UNIVERSITY (ASU), IS RESPONSIBLE FOR THE SUCCESS AND SCIENTIFIC INTEGRITY OF THE MISSION.  AS SUCH, THE PI SHALL LEAD THE PROJECT, MANAGE PROJECT RESOURCES, AND DIRECT ALL ACTIVITIES OF THE SCIENCE TEAM CARRIED OUT IN SUPPORT OF THE MISSION.  SPECIFICALLY, DURING PHASE A, THE PI WILL LEAD THE MISSION TEAM IN CONDUCTING THE CONCEPT STUDY REPORT AND ASSOCIATED SITE VISIT.  SHOULD THE MISSION BE SELECTED TO CONTINUE INTO PHASE B, THE PI WILL LEAD THE TEAM THROUGH THE INITIATION OF THE PHASE B EFFORT WITH A TRANSITION PHASE BETWEEN NOTIFICATION OF AWARD AND ESTABLISHMENT OF THE PHASE B CONTRACT.   THE PI IS ASSISTED BY A DEPUTY PI, DR. JAMES BELL AT ARIZONA STATE UNIVERSITY.  JET PROPULSION LABORATORY (JPL) IS THE MISSION MAJOR PARTNER FOR SPACECRAFT DEVELOPMENT AND MISSION IMPLEMENTATION, AND SHALL SUPPORT THE PI WITH A PROJECT TEAM EXPERIENCED IN MANAGEMENT, SYSTEMS ENGINEERING, MISSION DESIGN, PAYLOAD DEVELOPMENT, SAFETY AND MISSION ASSURANCE, NAVIGATION, AND MISSION OPERATIONS.  SPECIFIC OBJECTIVES TO ADDRESS THE PHASE A CRITERIA AND GUIDELINES ARE:  - PROJECT MANAGEMENT FOR THE PHASE A CONTRACT - CONDUCT AND SUPPORT OF PHASE A PROJECT REVIEWS - PHASE B/C/D/E SPACECRAFT DEVELOPMENT AND MISSION PLANNING - PHASE B/C/D/E COST ESTIMATES - CONCEPT STUDY REPORT PREPARATION - ORALS/SITE VISIT SUPPORT BY KEY PERSONNEL  THIS CONTRACT PROVIDES FOR WORK TO BE PERFORMED BY THE PRINCIPAL INVESTIGATOR IN SUPPORT OF THE PHASE A CONCEPT DEFINITION PORTION OF THE NASA DISCOVERY PROGRAM 2014 ANNOUNCEMENT OF OPPORTUNITY (AO) (NNH14ZDA014O) SOLICITATION DATED NOVEMBER 5, 2014.  THE MISSION PRINCIPAL INVESTIGATOR (PI), DR. LINDA ELKINS-TANTON, OF THE SCHOOL OF EARTH AND SPACE EXPLORATION AT ARIZONA STATE UNIVERSITY (ASU), IS RESPONSIBLE FOR THE SUCCESS AND SCIENTIFIC INTEGRITY OF THE MISSION.  AS SUCH, THE PI SHALL LEAD THE PROJECT, MANAGE PROJECT RESOURCES, AND DIRECT ALL ACTIVITIES OF THE SCIENCE TEAM CARRIED OUT IN SUPPORT OF THE MISSION.  SPECIFICALLY, DURING PHASE A, THE PI WILL LEAD THE MISSION TEAM IN CONDUCTING THE CONCEPT STUDY REPORT AND ASSOCIATED SITE VISIT.  SHOULD THE MISSION BE SELECTED TO CONTINUE INTO PHASE B, THE PI WILL LEAD THE TEAM THROUGH THE INITIATION OF THE PHASE B EFFORT WITH A TRANSITION PHASE BETWEEN NOTIFICATION OF AWARD AND ESTABLISHMENT OF THE PHASE B CONTRACT.   THE PI IS ASSISTED BY A DEPUTY PI, DR. JAMES BELL AT ARIZONA STATE UNIVERSITY.  JET PROPULSION LABORATORY (JPL) IS THE MISSION MAJOR PARTNER FOR SPACECRAFT DEVELOPMENT AND MISSION IMPLEMENTATION, AND SHALL SUPPORT THE PI WITH A PROJECT TEAM EXPERIENCED IN MANAGEMENT, SYSTEMS ENGINEERING, MISSION DESIGN, PAYLOAD DEVELOPMENT, SAFETY AND MISSION ASSURANCE, NAVIGATION, AND MISSION OPERATIONS.  SPECIFIC OBJECTIVES TO ADDRESS THE PHASE A CRITERIA AND GUIDELINES ARE:  - PROJECT MANAGEMENT FOR THE PHASE A CONTRACT - CONDUCT AND SUPPORT OF PHASE A PROJECT REVIEWS - PHASE B/C/D/E SPACECRAFT DEVELOPMENT AND MISSION PLANNING - PHASE B/C/D/E COST ESTIMATES - CONCEPT STUDY REPORT PREPARATION - ORALS/SITE VISIT SUPPORT BY KEY PERSONNEL"
DEPARTMENT OF JUSTICE (DOJ),OY2 OF CONTRACT FOR 2 LEGAL CLERKS FROM MVM (POP 9/15/18-9/14/19)
ENVIRONMENTAL PROTECTION AGENCY (EPA),THE PURPOSE OF THIS ORDER IS TO PROCURE THE SERVICES OF ERG TO PERFORM THE DUTIES AS OUTLINED IN THE MEETING DESIGN AND FACILITATING FOR THE GE PITTSFIELD/HOUSATONIC RIVER SITE SOW. THIS ORDER ALSO INCORPORATES THE APPROVED WORK PLAN AND COST ESTIMAT
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"IGF::OT::IGF USAID/ETHIOPIA WATER, SANITATION AND HYGIENE ACTIVITY NEW TASK ORDER"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF TTC-BIO.0052-16; E-276-2015/0-EIR-00; SHU; PATENT LEGAL SERVICE; (SURABIAN)
ENVIRONMENTAL PROTECTION AGENCY (EPA),"IGF::OT::IGF - ARCHITECT-ENGINEER ENVIRONMENTAL SERVICES, DEL AMO REMEDIAL ACTION OVERSIGHT"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE PURPOSE OF THIS TASK ORDER IS TO FUND THE GUARANTEED MINIMUM AMOUNT OF THE CONTRACT.
DEPARTMENT OF DEFENSE (DOD),"PMS 377,  PROFESSIONAL SUPPORT SERVICES (PSS) IN THE AREAS OF T&E, TECHNICAL MANAGEMENT SUPPORT, ACQUISITION AND LIFE CYCLE MANAGEMENT SUPPORT, LANDING CRAFT PLANNING YARD SUPPORT, INTEGRATED LOGISTICS SUPPORT (ILS), GFE SUPPORT, AND FLEET SUPPORT."
DEPARTMENT OF DEFENSE (DOD),"ASSESSMENT, IMPLEMENTATION&PRODUCING SPECIAL MISSIONS AIRCRAFT DOCUMENTATION SPACE AND NAVAL WARFARE SYSTEMS CENTER ATLANTIC SPECIAL RECONNAISSANCE, SURVEILLANCE,&EXPLOITATION (SRS&E) SUB-PORTFOLIO"
GENERAL SERVICES ADMINISTRATION (GSA),IGF::CL::IGF
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),"IGF::CL,CT::IGF THIS TASK ORDER KX01 IS ISSUED ON A COST PLUS FIXED FEE - TERM AND COST-REIMBURSEMENT BASIS IN ACCORDANCE WITH THE TERMS AND CONDITIONS OF CONTRACT W15P7T-12-D-E003, AND SUBSEQUENT MODIFICATIONS THERETO. THE SSES NEXGEN SOLICITATION NUMBER ASSOCIATED WITH THIS TASK ORDER IS SSESR-2032."
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF TRANSPORTATION (DOT),IGF::OT::IGF - CRASHWORTHINESS FOR LEGACY LOCOMOTIVES PHASE III
DEPARTMENT OF DEFENSE (DOD),200407!000157!5700!GR16  !AFRL/MLKH HUMAN EFFECTIVENESS BR!F4162402D7003  !A!N! !N!0009         !      !20040427!20081103!064677243!016435559!016435559!N!NORTHROP GRUMMAN INFORMATION T!7575 COLSHIRE DRIVE       !MCLEAN              !VA!22102!10624!029!48!BROOKS AFB          !BEXAR                 !TEXAS     !+000000632000!N!N!000000000000!AD92!RDTE/OTHER DEFENSE-APPLIED RESEARCH               !C9E!ALL OTHER SUPPLIES AND EQUIPMENT    !000 !*                             !541710!E! !3!B!S! ! !D!20071103!B!A!N!A! !A!N!U!2!002!B!  !Z!Y!Z! !  !N!C!N! ! ! !Z!Z!A!A!000!A!C!N! ! ! !Y!    !      !0001! !
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PFAS REQUIREMENT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0386-15; E-059-2007/2-US-07; RESTIFO; PATENT LEGAL SERVICE; (HASTINGS)
DEPARTMENT OF TRANSPORTATION (DOT),IGF::CT::IGF FOR CRITICAL FUNCTIONS THE OBJECTIVES OF THE PMO SERVICE CONTRACT(S) AWARDED IS TO PROVIDED FTA WITH CONTRACT SUPPORT CABLE OF RENDERING CRITICAL PROGRAMMATIC INPUTS FOR A VARIETY OF FTA PROGRAM DECISIONS FOR ITS GRANT PROG
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF TURBULENCE MODELING AND MITIGATION (EO-CHIL)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF GDC WAREHOUSE AND SELF SERVICE STORE SUPPORT
ENVIRONMENTAL PROTECTION AGENCY (EPA),"IGF::CL::IGF GENERAL TMDL SUPPORT FOR ALASKA, IDAHO, OREGON AND WASHINGTON WATERS"
NATIONAL SCIENCE FOUNDATION (NSF),GRADUATE REASERCH FELLOWSHIP PROGRAM PILOT DATA COLLECTION IGF::OT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF CLINICAL SUPPORT SERVICES TASK ORDER 1 - CORE FUNCTION ACTIVITIES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF NATIONAL RESEARCH CONFERENCE ON EARLY CHILDHOOD (2018)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PROJECT RTOR BIO-AMT-1021: DEVELOPMENT OF ANIMAL MODELS FOR EVALUATION OF MEDICAL COUNTERMEASURES FOR SARS-COV-2
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-CHM.0050-15; E-157-2012/0-CA-05; HRABIE; PATENT LEGAL SERVICE
DEPARTMENT OF TRANSPORTATION (DOT),TASK ORDER TITLE:  PROVIDE ANALYSIS & EVALUATION RESEARCH SUPPORT FOR ROADSIDE SAFETY TEAM
DEPARTMENT OF DEFENSE (DOD),"CPFF-LABOR-YEAR 1-AWARD TERM 5, YEAR 7"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF
DEPARTMENT OF AGRICULTURE (USDA),CONGO BASIN COMMUNICATIONS SPECIALIST  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF THE INTERIOR (DOI),"IGF::OT::IGF PUBLIC ENGAGEMENT, COLLABORATIVE ACTION AND DISPUTE RESOLUTION SERVICES FOR NPS"
DEPARTMENT OF DEFENSE (DOD),CIWS SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),CONTRACTUAL ENGINEERING TASK (CET) 21-123. THE PURPOSE OF THIS TASK IS TO ENHANCE THE CYBERSECURITY AND INFORMATION ASSURANCE POSTURE OF A SUBSYSTEM.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF
DEPARTMENT OF HOMELAND SECURITY (DHS),THE PURPOSE OF THIS BPA CALL IS TO PROVIDE PROGRAM PORTFOLIO MANAGEMENT SUPPORT TO NFIP
DEPARTMENT OF DEFENSE (DOD),TASK ORDER 9
PENSION BENEFIT GUARANTY CORPORATION (DOL),AUDIT EVALUATION SERVICES TO THE PENSION BENEFIT GUARANTY CORPORATION  CONTRACT AND CONTROL REVIEW DEPARTMENT
DEPARTMENT OF HOMELAND SECURITY (DHS),COURT SECURITY OFFICER (CSO) SERVICES
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF  THE PURPOSE OF THIS TASK IS TO UPGRADE THE SAGE SYSTEM TO IMPROVE THE HANDLING OF EXTERNAL TRACKLETS, AND ADD CAPABILITY TO DETECT, TRACK, AND MESSAGE ON EVENT 2."
DEPARTMENT OF DEFENSE (DOD),REMAINING CEILING FOR CLIN 0001
DEPARTMENT OF DEFENSE (DOD),NGTC LCSM - AWARD
DEPARTMENT OF JUSTICE (DOJ),FY21 IREO OMB CIRCULAR A-123 IMPLEMENTATION SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"IGF::OT::IGF CORE FUNCTION ACTIVITIES-TO PROVIDE ASSISTANCE IN PROTOCOL REVIEW, PROTOCOL DEVELOPMENT AND ACTIVITIES ASSOCIATED WITH PAST, PRESENT AND FUTURE OF THE CONTRACEPTIVE CLINICAL TRIALS NETWORK (FEMALE SITES) ACTIVITIES."
DEPARTMENT OF DEFENSE (DOD),RESEARCH AND DEVELOPMENT -BASE PERIOD
DEPARTMENT OF JUSTICE (DOJ),NEW INSTALL PROJECT
DEPARTMENT OF TRANSPORTATION (DOT),IGF::OT::IGF  NOBLIS ENGINEERING SUPPORT VIA EPICS UNRESTRICTED CONTRACT DTFAWA-17-D-00014
DEPARTMENT OF DEFENSE (DOD),REMEDIAL INVESTIGATION / FEASIBILITY STUDY -- DEWEY LOEFFEL LANDFILL SUPERFUND SITE NY
ENVIRONMENTAL PROTECTION AGENCY (EPA),"CADMUS TASK ORDER 68HERC21D0006,  MISSION SUPPORT ACTIVITIES FOR PFAS (PER- AND POLYFLUOROALKYL SUBSTANCES) UNDER THE SAFE DRINKING WATER ACT  TOCOR: GEORGE GARDENIER ALT-TOCOR: HANNAH HOLSINGER CO: KEITH PFEFFER"
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),THE CONTRACTOR SHALL DEVELOP TECHNOLOGY FOR ACQUIRING AND TRANSFERRING REGOLITH FROM THE LUNAR SURFACE TO INSTRUMENTS AND SAMPLE RETURN CONTAINERS
DEPARTMENT OF DEFENSE (DOD),"THE CONTRACTOR SHALL PROVIDE ENGINEERING, AND TECHNICAL ASSISTANCE SUPPORT TO THE DARPA TTO FOR NO MANNING REQUIRED, SHIP (NOMARS) PROGRAM AND RELATED CONCEPTS."
SMITHSONIAN INSTITUTION (SI),NEW TASK ORDER UNDER SI CONTRACT 33330218DF0010274 FOR VULNERABILITY MANAGEMENT SUPPORT SERVICES - ONE YEAR FROM AWARD.
DEPARTMENT OF STATE (DOS),IGF::OT::IGF TO ENHANCE BURKINA FASOS GENDARME SPECIAL INTERVENTION UNIT (SIU) WITH ADDITIONAL PROTECTIVE EQUIPMENT AND TRAINING IN ORDER TO ELEVATE CAPACITY TO RESPOND TO ATTACKS OR NATIONAL EMERGENCIES AND IMPROVE PROFICIENCY AND READINESS TO CONDUCT AND SUSTAIN CT OPERATIONS.
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),FEED THE FUTURE WEST AFRICA TRADE HUB CONTRACT
DEPARTMENT OF DEFENSE (DOD),CODE 44B/EMERGENT REPAIRS
DEPARTMENT OF DEFENSE (DOD),"LIFE-CYCLE PRODUCT SUPPORT DATA, IETM&ASSOCIATED TECHNOLOGY SUPPORT FOR PMA-261 AND COLLABORATING PROGRAMS"
DEPARTMENT OF JUSTICE (DOJ),FY21 AFASS SERVICES UFLM DO 0732
DEPARTMENT OF COMMERCE (DOC),"IGF::OT::IGF ASSESSMENT AND REMEDIATION OF AIS FOR WIN 10 BASELINE COMPATIBILITY.  POP: JANUARY 19, 2017 THROUGH JUNE 30, 2017."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),ALZHEIMER'S DISEASE/ALZHEIMER'S DISEASE RELATED DEMENTIAS OUTREACH CONTRACT TO ASSIST NIA ADDRESSING THE 2025 GOAL FOR ALZHEIMER'S DISEASE
DEPARTMENT OF DEFENSE (DOD),GPS-BRIE FMS
NUCLEAR REGULATORY COMMISSION (NRC),TECHNICAL ASSISTANCE FOR THE DEVELOPMENT OF RULEMAKING TO ESTABLISH INDEFINITE LICENSE TERMS FOR NON-POWER PRODUCTION OR UTILIZATION FACILITIES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),INSTRUCTIONAL DESIGN SERVICES
DEPARTMENT OF DEFENSE (DOD),HEROE RSS IN SUPPORT OF NAVAL HEALTH RESEARCH CENTER SAN DIEGO
DEPARTMENT OF DEFENSE (DOD),"BASE YEAR: R&D SERVICES FOR ""IDENTIFYING CHARACTERISTICS OF ELITE TEAMS AND THEIR LEADERS TO OPTIMIZE SQUAD PERFORMANCE IN THE FUTURE OPERATING ENVIRONMENT."""
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-BIO.0167-18; E-148-2011/0-HK-15; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 2-LVM-BIO.0225-18; E-148-2011/0-EP-06; MORGAN; PATENT LEGAL SERVICE; (BURKE)
